rank,cell_id,latitude,longitude,visible_cells,camera_value,max_visits_in_range,coverage_radius_km
1,R002C050,10.76055474,76.85391695999999,952,1.0,24,40
2,R000C000,10.75157164,76.62525892000001,1071,0.9999999999999998,24,40
3,R000C001,10.75157164,76.62983212,1063,0.9999999999999998,24,40
4,R000C002,10.75157164,76.63440526,1042,0.9999999999999998,24,40
5,R000C003,10.75157164,76.63897842,1038,0.9999999999999998,24,40
6,R000C004,10.75157164,76.64355155999999,1042,0.9999999999999998,24,40
7,R000C005,10.75157164,76.64812472,1049,0.9999999999999998,24,40
8,R000C006,10.75157164,76.65269792000001,1026,0.9999999999999998,24,40
9,R000C007,10.75157164,76.65727106,1009,0.9991110320917412,24,40
10,R000C008,10.75157164,76.66184422,982,0.99271046315228,24,40
11,R000C009,10.75157164,76.66641741999999,955,0.9863098942128188,24,40
12,R000C010,10.75157164,76.67099055999999,919,0.9844430616054758,24,40
13,R000C011,10.75157164,76.67556371999999,881,0.9760867632678459,24,40
14,R000C012,10.75157164,76.68013685999999,841,0.973775446706374,24,40
15,R000C013,10.75157164,76.68471002,803,0.9386612143301625,17,40
16,R000C014,10.75157164,76.68928322000001,763,0.8444306160547602,17,40
