rank,cell_id,latitude,longitude,cells_visible,weighted_demand_coverage,elephant_visits_in_range,camera_value
1,R000C048,10.75157164,76.84477062,9,3.994777816884648,66,0.888299948080904
2,R001C002,10.7560632,76.63440526,12,5.959747228568597,97,0.8319094452644827
3,R001C008,10.7560632,76.66184422,12,5.906439998886102,98,0.7779336956505845
4,R001C014,10.7560632,76.68928322000001,12,1.1227153571456332,18,0.06940166500482166
5,R001C019,10.7560632,76.71214902,11,1.1518710867629625,14,0.06940166500450985
6,R001C043,10.7560632,76.82190482,12,4.813533294547694,79,0.4059490826932709
7,R003C005,10.76504634,76.64812472,13,4.917319264410637,82,0.47677387816705485
8,R003C011,10.76504634,76.67556371999999,13,0.37380323179427744,2,0.0005273072644109458
9,R003C046,10.76504634,76.83562432,13,4.03241924792796,59,0.2270771619933204
10,R004C041,10.7695379,76.81275852,12,3.7719752441862564,50,0.1760004864050204
11,R005C001,10.77402944,76.62983212,12,1.3213663852836692,25,0.06936120693762218
12,R005C049,10.77402944,76.84934382,12,3.2828545042712785,52,0.24531716685425323
13,R006C044,10.778521,76.82647802,13,4.956483636117432,76,0.28599028944943566
14,R008C047,10.7875041,76.84019746,13,4.375108519971485,62,0.28645457524310236
15,R010C043,10.796487199999998,76.82190482,13,2.3481285488986154,28,0.2562744420599901
16,R012C046,10.80547034,76.83562432,13,0.8959963852660995,8,1.565554650522051e-05
