cell_id,demand,visit_count,trajectory_count,entry_count
R000C000,0.48368145925222816,9,1,3
R000C001,0.5052218706154624,6,2,4
R000C002,0.32593557297241876,4,1,3
R000C003,0.7776326966453503,16,2,5
R000C004,0.5774586059443977,8,2,5
R000C005,0.5080504192993842,7,2,3
R000C006,0.407963373948908,3,2,3
R000C007,0.7804612453292721,17,2,4
R000C008,0.4107919226328298,4,2,2
R000C009,0.18690161589713872,1,1,1
R000C010,0.0,0,0,0
R000C011,0.0,0,0,0
R000C012,0.0,0,0,0
R000C013,0.39838989208660724,7,1,2
R000C014,0.5374238491618872,10,1,4
R000C015,0.18690161589713872,1,1,1
R000C016,0.21845079315310056,2,1,1
R000C017,0.21845079315310056,2,1,1
R000C018,0.4205831047403044,7,1,3
R000C019,0.27219318306275964,3,1,2
R000C020,0.27219318306275964,3,1,2
R000C021,0.24999997040906244,3,1,1
R000C022,0.0,0,0,0
R000C023,0.0,0,0,0
R000C024,0.0,0,0,0
R000C025,0.0,0,0,0
R000C026,0.0,0,0,0
R000C027,0.0,0,0,0
R000C028,0.0,0,0,0
R000C029,0.0,0,0,0
R000C030,0.0,0,0,0
R000C031,0.0,0,0,0
R000C032,0.0,0,0,0
R000C033,0.0,0,0,0
R000C034,0.0,0,0,0
R000C035,0.0,0,0,0
R000C036,0.0,0,0,0
R000C037,0.0,0,0,0
R000C038,0.0,0,0,0
R000C039,0.0,0,0,0
R000C040,0.0,0,0,0
R000C041,0.33529153757468344,5,1,2
R000C042,0.7526109353077312,15,2,5
R000C043,0.33529153757468344,5,1,2
R000C044,0.30374236031872154,4,1,2
R000C045,0.45213228199626626,8,1,3
R000C046,0.8026544579829693,17,2,5
R000C047,0.8692340959440609,17,2,8
R000C048,0.7025674126324931,13,2,5
R000C049,0.3890339274843425,6,1,3
R000C050,0.33529153757468344,5,1,2
R001C000,0.18690161589713872,1,1,1
R001C001,0.27219318306275964,3,1,2
R001C002,0.7554394839916531,16,2,4
R001C003,0.5080504192993842,7,2,3
R001C004,0.3890339274843425,6,1,3
R001C005,0.3668407148306453,6,1,2
R001C006,0.6449086289812054,12,1,6
R001C007,0.8220191219527446,16,2,7
R001C008,0.7526109353077312,15,2,5
R001C009,0.7497823866238094,14,2,6
R001C010,0.48302865796176514,6,2,3
R001C011,0.0,0,0,0
R001C012,0.0,0,0,0
R001C013,0.0,0,0,0
R001C014,0.0,0,0,0
R001C015,0.0,0,0,0
R001C016,0.0,0,0,0
R001C017,0.0,0,0,0
R001C018,0.18690161589713872,1,1,1
R001C019,0.0,0,0,0
R001C020,0.0,0,0,0
R001C021,0.0,0,0,0
R001C022,0.0,0,0,0
R001C023,0.0,0,0,0
R001C024,0.0,0,0,0
R001C025,0.0,0,0,0
R001C026,0.0,0,0,0
R001C027,0.0,0,0,0
R001C028,0.0,0,0,0
R001C029,0.0,0,0,0
R001C030,0.0,0,0,0
R001C031,0.0,0,0,0
R001C032,0.0,0,0,0
R001C033,0.0,0,0,0
R001C034,0.0,0,0,0
R001C035,0.0,0,0,0
R001C036,0.0,0,0,0
R001C037,0.0,0,0,0
R001C038,0.0,0,0,0
R001C039,0.0,0,0,0
R001C040,0.0,0,0,0
R001C041,0.33529153757468344,5,1,2
R001C042,0.546779813764152,11,1,3
R001C043,0.3574847502283806,5,1,3
R001C044,0.27219318306275964,3,1,2
R001C045,0.4205831047403044,7,1,3
R001C046,0.5689730264178491,11,1,4
R001C047,0.27219318306275964,3,1,2
R001C048,0.21845079315310056,2,1,1
R001C049,0.18690161589713872,1,1,1
R001C050,0.21845079315310056,2,1,1
R002C000,0.0,0,0,0
R002C001,0.39838989208660724,7,1,2
R002C002,0.6747171026109521,11,2,6
R002C003,0.7804613026073177,17,1,5
R002C004,0.6764578062371672,13,1,6
R002C005,0.4427763173940017,7,1,4
R002C006,0.5689730264178491,11,1,4
R002C007,0.3890339274843425,6,1,3
R002C008,0.21845079315310056,2,1,1
R002C009,0.21845079315310056,2,1,1
R002C010,0.18690161589713872,1,1,1
R002C011,0.18690161589713872,1,1,1
R002C012,0.0,0,0,0
R002C013,0.0,0,0,0
R002C014,0.0,0,0,0
R002C015,0.0,0,0,0
R002C016,0.0,0,0,0
R002C017,0.0,0,0,0
R002C018,0.0,0,0,0
R002C019,0.0,0,0,0
R002C020,0.0,0,0,0
R002C021,0.0,0,0,0
R002C022,0.0,0,0,0
R002C023,0.0,0,0,0
