cell_id,area_m2,avg_points_per_visit,centroid_lat,centroid_lon,dist_to_road_m,dist_to_settlement_m,dist_to_water_m,entry_count,pct_crops,pct_forest,pct_settlements,pct_water,rail_length_m,road_length_m,unique_trajectory_count,visit_count,boundary_vertex_proportion,crossing_intensity,edge_density,first_passage_frequency,num_crop_patches,num_forest_patches,num_settlement_patches,num_water_patches,pass_through_points,visits_near_crops,visits_near_settlements,visits_near_water
R012C022,250026.4443359375,12.0,10.80547034,76.72586845999999,7115.508543425789,17924.425168505895,6658.480633881787,6,0.0,100.0,0.0,0.0,0.0,0.0,2,24,0.0,2,0.0081237001066485,2,0,0,0,0,24,0,0,0
R009C027,250037.662109375,17.0,10.79199564,76.74873425999999,4195.232074579527,16347.355626243068,4363.917413902383,5,0.0,99.9999994225494,0.0,10.725348550013546,0.0,0.0,1,17,0.0,1,0.008123286681952,1,0,0,0,1,17,0,0,16
R000C007,250071.2255859375,8.5,10.75157164,76.65727106,10890.164103278088,26179.03812600465,14307.80685014471,4,0.0,0.0,0.0,0.0,0.0,0.0,2,17,0.0,2,0.0081215430767978,2,0,0,0,0,17,1,0,1
R012C023,250031.9111328125,8.5,10.80547034,76.73044162,6783.737246632788,17487.9845868745,6161.860941293738,6,0.0,100.0,0.0,0.0,0.0,0.0,2,17,0.0,2,0.0081236245260381,2,0,0,0,0,17,0,0,0
R012C026,250031.912109375,8.5,10.80547034,76.74416112,5931.747599121832,16200.219917520972,4676.39511330527,7,0.0,99.9999998689242,0.0,0.0,0.0,0.0,2,17,0.0,2,0.0081236682210717,2,0,0,0,0,17,0,0,0
R000C046,250076.693359375,8.5,10.75157164,76.83562432,5789.098955647779,14671.40590268381,9505.592144577337,5,0.0,0.0,0.0,0.0,0.0,4547.9828035283,2,17,0.0,2,0.0081220159534665,2,0,0,0,0,17,0,0,0
R000C047,250071.2255859375,8.5,10.75157164,76.84019746,6284.674431137662,14596.534429269792,9858.526774381544,8,0.0,0.0,0.0,0.0,0.0,4081.1321853182744,2,17,0.0,2,0.00812212052503,2,0,0,0,0,17,0,0,0
R002C003,250069.2451171875,17.0,10.76055474,76.63897842,13112.15382141848,27565.661976720887,15939.06790130938,5,0.0,0.0,0.0,0.0,0.0,0.0,1,17,0.0,1,0.0081217176041194,1,0,0,0,0,17,0,0,0
R001C002,250061.935546875,8.0,10.7560632,76.63440526,13489.396843826044,28140.28030002368,16472.78108521368,4,0.0,0.0,0.0,0.0,0.0,0.0,2,16,0.0,2,0.0081217211325475,2,0,0,0,0,16,0,0,2
R010C025,250028.3564453125,8.0,10.796487199999998,76.73958796,5223.013647752334,16958.19588893882,5170.021274963035,6,0.0,100.0,0.0,0.0,0.0,7691.641693952446,2,16,0.0,2,0.0081235087054467,2,0,0,0,0,16,0,0,0
R001C007,250061.9345703125,8.0,10.7560632,76.65727106,10989.487593799233,26007.894580914864,14190.79875375365,7,0.0,0.0,0.0,0.0,0.0,0.0,2,16,0.0,2,0.0081217933130521,2,0,0,0,0,16,0,0,0
R000C003,250076.6953125,8.0,10.75157164,76.63897842,12886.134522256414,27860.9041893204,16099.479382119303,5,0.0,0.0,0.0,28.7499999126322,0.0,0.0,2,16,0.0,2,0.0081213952337212,2,0,0,0,1,16,0,0,15
R012C024,250031.912109375,7.5,10.80547034,76.73501482,6473.623176802094,17054.934010343142,5665.841298297624,6,0.0,99.9999998689242,0.0,5.395687512108696,0.0,0.0,2,15,0.0,2,0.0081236390691699,2,0,0,0,2,15,0,0,5
R000C042,250071.2265625,7.5,10.75157164,76.81733166000001,3818.713753497301,15130.167978962132,8246.600697758602,5,0.0,0.0,0.0,0.0,0.0,3334.035615763064,2,15,0.0,2,0.00812204824146,2,0,0,0,0,15,0,0,0
