feature,importance
pass_through_points,0.50558
visit_count,0.4646321
activity_score,0.022732195
entry_count,0.0030852312
avg_points_per_visit,0.0026370054
unique_trajectory_count,0.001330806
edge_density,1.4867201e-06
pct_forest,2.7475843e-07
habitat_quality,2.4631998e-07
dist_to_water_m,1.277936e-07
dist_to_water_m_log,8.9442615e-08
pct_water,7.2220374e-08
road_length_m,6.924284e-08
dist_to_settlement_m,5.5916605e-08
crossing_intensity,4.6835687e-08
dist_to_road_m,4.6160725e-08
dist_to_road_m_log,4.5369013e-08
num_water_patches,4.036531e-08
num_forest_patches,2.8087365e-08
dist_to_settlement_m_log,1.6278696e-08
boundary_vertex_proportion,1.2704227e-08
num_crop_patches,0.0
rail_length_m,0.0
num_settlement_patches,0.0
pct_crops,0.0
pct_settlements,0.0
first_passage_frequency,0.0
human_conflict_proximity,0.0
